acto,secuencia,clip,tipo,encuadre,camara,accion,dialogo,dur_seg,acumulado
ACTO 2,17 — ESCENA: Theron pide la mano y el Orbe / la sospecha · *(133-136)*,136,ESTÁNDAR,"Theron alone, staring into the dark after she leaves.","slow push, brooding.","@Theron closes the subject, then stays staring into the void, a twenty-thousand-year suspicion stirring awake.",,9,22:18
ACTO 2,18 — ESCENA: La foto / la familia viva / Vera revelada · *(137-141)*,137,ESTÁNDAR,Theron sets a projector down; a cold image blooms.,push into the projector light.,@Theron sets a @Proyector on her table and tells her to look; a holographic image blooms in the dark.,,9,22:27
ACTO 2,18 — ESCENA: La foto / la familia viva / Vera revelada · *(137-141)*,138,ESTÁNDAR,"the projected image of Naio, old and chained.",slow push into the hologram.,"the projection shows @NaioEsclavo — Stella's father, aged, chained, a slave in a fog-mine.",,9,22:36
ACTO 2,18 — ESCENA: La foto / la familia viva / Vera revelada · *(137-141)*,139,ESTÁNDAR,"the projected image of Selka training, cold.","slow push, chilling.","the projection shows @SelkaGeneral — no longer a baby, a young soldier training with surgical cold, perfect and empty, the same grey-blue eyes as her mother.",,9,22:45
ACTO 2,18 — ESCENA: La foto / la familia viva / Vera revelada · *(137-141)*,139A,ACCIÓN·insert,the projection pushes in on Selka's cold face.,slow push into the hologram.,"the projection pushes in on @SelkaGeneral's cold, perfect face — a stranger now wearing the baby's features, grey-blue eyes empty.",,4,22:49
ACTO 2,18 — ESCENA: La foto / la familia viva / Vera revelada · *(137-141)*,140,ESTÁNDAR,the hooded leader's hood slips — Vera's face.,slow push to the reveal.,"in the projection a hooded leader directs the resistance; the hood slips for a second — it is @VeraEncapuchada's face, Vera, alive.",,9,22:58
ACTO 2,18 — ESCENA: La foto / la familia viva / Vera revelada · *(137-141)*,141,INSERT,primerísimo plano sostenido of her face.,"held, barely breathing.","@StellaPeloCorto's hand flies to her mouth, eyes spilling; @Theron watches her from the door like a man about to witness the impossible.",,6,23:04
ACTO 2,19 — ESCENA: [AÑO 14] Las minas / Naio / Vera se decide · *(142-145)*,142,ESTABLISHING,"wide of the misty mines, the hooded figure slipping through.",slow drift through fog.,"in the fog-mines of Year 14, @VeraEncapuchada slips between columns of slaves, searching face after face.",,12,23:16
ACTO 2,19 — ESCENA: [AÑO 14] Las minas / Naio / Vera se decide · *(142-145)*,143,ESTÁNDAR,she lowers her hood to an old broken man.,"intimate, trembling.","@VeraEncapuchada lowers her hood just enough; @NaioEsclavo stares, unable to believe it.",,9,23:25
ACTO 2,19 — ESCENA: [AÑO 14] Las minas / Naio / Vera se decide · *(142-145)*,144,ESTÁNDAR,"close two-shot, his plea.","steady, intimate.","@VeraEncapuchada tells him Selka is alive but changed; @NaioEsclavo grips her, begging her not to go.",,9,23:34
ACTO 2,19 — ESCENA: [AÑO 14] Las minas / Naio / Vera se decide · *(142-145)*,145,ESTÁNDAR,"she takes his face, then leaves into the fog.","push to her resolve, then she recedes; he reaches after.","@VeraEncapuchada cups @NaioEsclavo's face, decided, then turns and vanishes into the fog toward the palace as he reaches uselessly after her.",,9,23:43
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,146,ESTABLISHING,Vera enters; Korin/Lessa cover; Marek at the door.,"slow, tense.",@VeraEncapuchada slips in while @Korin and @Lessa cover the hall; @Marek stops her at the door with a hand on her shoulder.,,12,23:55
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,147,ESTÁNDAR,"Selka's back, Vera in the doorway.",slow push to Selka.,"inside, @SelkaGeneral stands with her back turned, knowing she is not alone.",,9,24:04
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,148,ESTÁNDAR,"Vera lowers her hood; Selka turns, a microsecond tremor.","push to Selka's face, the flicker crushed.","@VeraEncapuchada lowers her hood; @SelkaGeneral turns, sees her mother's face — something trembles for a microsecond before the training crushes it flat.",,9,24:13
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,149,ACCIÓN,Selka attacks; Vera only blocks and retreats.,kinetic but anguished handheld.,"@SelkaGeneral attacks in a flurry; @VeraEncapuchada only blocks, parries, gives ground — she cannot bring herself to strike her own daughter.",,7,24:20
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,149A,ACCIÓN·insert,detail of Vera absorbing blows on her forearms.,"anguished handheld, never striking back.","detail of the duel — @VeraEncapuchada absorbs strike after strike on her forearms, never once hitting back, her face pleading; a mother refusing to harm her child even to survive.",,4,24:24
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,150,ACCIÓN,"Selka's arm shaking, the blade lowering.",slow push to her cracking face.,"faced with someone who refuses to wound her, @SelkaGeneral falters; her arm trembles, the blade drops, something deep in her surrenders.",,7,24:31
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,151,EMOCIÓN,Vera folds her into an embrace.,"slow, tender, dread underneath.",@VeraEncapuchada pulls @SelkaGeneral into her arms and holds her the way mothers do.,,11,24:42
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,151A,ACCIÓN·insert,CU of Selka's face over Vera's shoulder.,slow push as a shutter slides down.,"CU of @SelkaGeneral's face over @VeraEncapuchada's shoulder in the embrace — confusion, a flicker of longing — then a cold blankness slides down like a shutter.",,4,24:46
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,152,ACCIÓN,"in the embrace, a light-blade drives in; Vera's glow dims.","tight, a single cruel beat. Death by light, no blood.","inside the embrace @SelkaGeneral drives a light-blade into @VeraEncapuchada's side; Vera gasps, her warm glow dimming out — no blood, only light leaving her.",,7,24:53
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,153,EMOCIÓN,primerísimo plano of Selka at Vera's ear.,"held, intimate, withholding the words.",@SelkaGeneral holds her mother close and whispers something at her ear we do not hear; @VeraEncapuchada's grey-blue eyes go wide.,,11,25:04
ACTO 2,20 — ESCENA: Aposentos de la General / la muerte de Vera (el engaño) · *(146-154)*,154,EMOCIÓN,"from the door, Korin/Lessa see only the killing; Vera dies on Selka's face.",slow pull from the doorway witnesses to Selka standing over the body.,"from the doorway @Korin and @Lessa see only the General killing her mother; @Marek arrives a second too late, stricken; @VeraEncapuchada dies with @SelkaGeneral's face as her last sight, believing it — and Selka, trembling over the body, begins to hum a lullaby she doesn't remember learning.",,11,25:15
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,155,ESTABLISHING,wide establishing over the ruined city.,slow mournful crane over the grey.,"the camera glides over Erdia twenty years on — a grey, fractured city under fog, imperial murals looming above rubble where gardens used to be.",,12,25:27
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,156,INSERT,"insert on Stella's name crossed out, hate-scrawl around it.",slow push to the defaced name.,"on a cracked wall, Stella's name is struck through and ringed with twenty years of scrawled hatred — the lie the King built.",,6,25:33
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,157,ESTÁNDAR,the small ship lands; the team steps out.,"low, dust settling around their boots.","a small ship sets down among the scrap; @Brog, @Nima, @Noah and @StellaTeñida — hooded, dark-dyed hair — step out into the ruined city she once called home.",,9,25:42
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,158,ESTÁNDAR,they move through hostile stares; an old man spits.,"handheld through the crowd, then close two-shot.",@StellaTeñida moves through the crowd under the hatred the King taught them — an old man spits at her name; @Noah leans in.,,9,25:51
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,159,ESTÁNDAR,"resistance steps out, weapons up; Korin aims at Stella.","tense, weapons leveling.","a resistance group steps from the shadows, weapons raised; at the front an older @Korin levels his aim at the hooded @StellaTeñida.",,9,26:00
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,160,ESTÁNDAR,she lowers the hood; he doesn't recognize the dark hair.,"slow push to his hardening face, about to give the order.","@StellaTeñida lowers her hood; @Korin, seeing only the dark-dyed hair, doesn't know her, his finger tightening to give the order.",,9,26:09
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,161,EMOCIÓN,he studies her face; an old memory surfaces and breaks him.,slow push to his face as recognition dawns.,"then, under the dyed hair, @Korin recognizes her face — the little girl he knew twenty years ago, always at her mother's side; his aim drops, his voice cracking.",,11,26:20
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,162,EMOCIÓN,faces of old loyalists realizing she's back.,slow drift across faces — hope and fear.,"word ripples through the old loyalists that Stella has returned — faces caught between hope and fear, twenty years of grief stirring.",,11,26:31
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,163,ESTÁNDAR,"Vosk at the viewport, Theron behind.",slow push between them.,in orbit @Vosk watches Erdia churn and turns to @Theron; the hunter doesn't agree — but doesn't stop him.,,9,26:40
ACTO 3,21 — ESCENA: [AÑO 20] El regreso · *(155-164)*,164,ESTÁNDAR,"Theron alone, watching the planet, saying nothing.","slow push, brooding.","@Theron stares at Erdia and lets @Vosk go without a word, his own ancient suspicion pulling him toward the surface too.",,9,26:49
ACTO 3,22 — ESCENA: Stella visita a Naio · *(165-170)*,165,ESTÁNDAR,"Korin leads her to a bent, half-blind old man.",slow reveal of Naio.,"@Korin leads @StellaTeñida to a bent, half-blind old slave — @NaioRescatado, her father, unrecognizable under twenty years.",,9,26:58
ACTO 3,22 — ESCENA: Stella visita a Naio · *(165-170)*,166,ESTÁNDAR,she kneels; he can't find her face.,intimate two-shot.,@StellaTeñida sinks to her knees before him and says it; @NaioRescatado searches for a face he can't place.,,9,27:07
ACTO 3,22 — ESCENA: Stella visita a Naio · *(165-170)*,167,ESTÁNDAR,he takes her hand and feels the sigil glow.,"push to their joined hands, the @LlaveDeLuz pulsing.","@NaioRescatado takes her hand — and feels the @LlaveDeLuz pulsing beneath her skin, the @Orbe still safe; recognition floods him.",,9,27:16
ACTO 3,22 — ESCENA: Stella visita a Naio · *(165-170)*,168,EMOCIÓN,primerísimo plano sostenido of his good eye flooding.,"held, intimate.","@NaioRescatado's good eye floods; he cradles her face, twenty years collapsing into one moment.",,11,27:27
ACTO 3,22 — ESCENA: Stella visita a Naio · *(165-170)*,169,EMOCIÓN,"the embrace, held.","slow circle, warm.","father and daughter hold each other, twenty years of loss folding into a single trembling embrace.",,11,27:38
ACTO 3,22 — ESCENA: Stella visita a Naio · *(165-170)*,170,ESTÁNDAR,she promises; he can't bear to tell her the truth about Vera.,"intimate, a shadow of grief on his face.","@StellaTeñida swears to get them all out; @NaioRescatado, no heart to tell her what they believe of Vera, lets her keep her hope.",,9,27:47
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,171,ACCIÓN,wide as the assault detonates across the streets.,"kinetic, in the chaos.","the resistance assault erupts across the grey fog-streets — naieli surging against imperial robots, the war begins in a storm of energy-light and dust.",,7,27:54
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,172,ACCIÓN,the crew tearing through robots.,"fast handheld, impact frames.","@Brog smashes breaches through robot lines, @Nima's four arms dismantle units mid-stride, @Noah covers with his light-blade — the found family at war.",,7,28:01
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,172A,ACCIÓN·insert,"sweeping battle coverage, naieli rising in the ruins.",whip-pans across the front line.,"the camera sweeps the battle — ragged naieli charging imperial robots through the grey ruins, banners and energy-light, the fury of a people who waited twenty years.",,4,28:05
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,173,ACCIÓN,a commando pulls Naio to safety in the chaos.,"running handheld, dust.","in the chaos a resistance commando hauls @NaioRescatado clear of the fighting, shielding him toward safety.",,7,28:12
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,174,EMOCIÓN,"primer plano of her looking up at the dome, decision made.","slow push, then a snap up to the palace.","@StellaTeñida looks up at the high dome of the palace and breaks from her recon mission — her face fixed, unstoppable.",,11,28:23
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,174A,ACCIÓN·insert,she sprints up the rubble and leaps onto the palace wall.,"fast low track, then a vertiginous tilt up as she leaps.","@StellaTeñida sprints up a slope of rubble and launches onto the sheer palace wall, slamming a handhold and starting to climb as the battle rages far beneath her boots.",,4,28:27
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,175,ACCIÓN,"vertiginous vertical, she climbs under energy-fire.","vertical tracking up the façade, dizzying.","@StellaTeñida scales the towering palace alone, energy-fire shattering the stone at her hands, leaping from ledge to ledge toward the highest dome — tiny against the colossus.",,7,28:34
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,175A,ACCIÓN·insert,a ledge crumbles; she lunges and catches the dome's rim.,"the camera drops with the falling debris, then snaps up as she catches.","a ledge crumbles under @StellaTeñida; she lunges through open air and barely catches the rim of the glass dome, hanging over the drop, then hauls herself up — face all teeth and will.",,4,28:38
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,176,ESTÁNDAR,Stella's POV down through the glass at the waiting figure.,"slow, ominous.","through the glass dome @StellaTeñida sees the throne hall far below — and a single white figure standing perfectly still at its heart, as if it knew she would come.",,9,28:47
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,177,ACCIÓN,she strikes the glass with the Orb; it shatters in slow motion.,impact + slow-mo shards.,@StellaTeñida slams the @Orbe into the glass dome — it shatters into a slow rain of shards — and she drops through into the throne hall.,,7,28:54
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,177A,ACCIÓN·insert,"extreme detail of the dome shattering, shards spinning in light.",slow-motion through the breaking glass with her.,"the glass dome detonates into a slow-spinning storm of shards lit by the @Orbe's flare; @StellaTeñida plunges through the center of it, glass blooming outward around her like a halo.",,4,28:58
ACTO 3,23 — ESCENA: La guerra / rescatan a Naio / la cúpula · *(171-178)*  · **SET-PIECE A6**,178,ACCIÓN,she lands among falling shards in a crouch.,"impact frame as she lands, shards raining.","@StellaTeñida lands hard in a crouch amid the raining glass and rises, glass glittering around her, eyes fixing on the figure ahead.",,7,29:05
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,179,ESTÁNDAR,wide symmetrical face-off across the hall.,"slow, holding the distance between them.","@StellaTeñida rises to face @SelkaGeneral — the General, 21, white, perfect, cold, grey-blue eyes — two sisters across a throne hall for the first time in twenty years, and neither fully knows it.",,9,29:14
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,180,ACCIÓN,"Selka draws her light-blade, cold.",push to her unblinking face.,"@SelkaGeneral ignites her @HojaSelka, unhurried, contemptuous.",,7,29:21
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,181,ACCIÓN,Stella's open hands; Selka lunges.,snap from Stella's plea to Selka's strike.,"@StellaTeñida holds her hands open, refusing the fight; @SelkaGeneral answers with a lunge of the blade.",,7,29:28
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,181A,ACCIÓN·insert,first blade clash; they lock and spring apart.,"snap-zoom on the clash, sparks.","@SelkaGeneral's @HojaSelka cracks against @StellaTeñida's guard in a shower of sparks; they lock for a heartbeat, faces inches apart, then spring apart — the duel exploding into motion.",,4,29:32
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,182,ACCIÓN,"fast duel; Stella blocks, redirects, disarms her once.","circling whip-pans, the blade flying.","@StellaTeñida blocks, parries and redirects — clearly the stronger — and disarms @SelkaGeneral with a spin, the @HojaSelka skittering away; but she does not strike to kill.",,7,29:39
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,182A,ACCIÓN·insert,a flurry of hand-to-hand after the disarm.,"tight whip-pans, impact frames on each block.","@SelkaGeneral recovers and they trade a blistering hand-to-hand flurry — Stella absorbing, redirecting, never striking to hurt; two identical fighting styles colliding, neither knowing why they mirror each other.",,4,29:43
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,183,ACCIÓN,the question lands; Selka knocks her down.,"push to Stella's face on the line, then impact as she's downed.","@StellaTeñida's question cuts deeper than any blow; in her hesitation @SelkaGeneral knocks her to the floor, blade rising.",,7,29:50
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,183A,ACCIÓN·insert,Selka's takedown; Stella hits the floor hard.,"impact frame as Stella slams down, the blade rising.","@SelkaGeneral sweeps @StellaTeñida's legs and drives her down; Stella hits the marble hard, the wind knocked out of her, @SelkaGeneral's blade already rising over her.",,4,29:54
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,184,EMOCIÓN,"cornered, by reflex Stella cups her palm, a spark of Gix toward Selka's forehead.",the chaos slows to a held breath.,"cornered, by pure reflex @StellaTeñida cups her palm — a spark of @Gix dances in it — and lifts it toward @SelkaGeneral's forehead: the light game from the lab, twenty years buried.",,11,30:05
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,185,ACCIÓN,her blade trembles in the air; she freezes.,slow push to her cracking face.,"@SelkaGeneral freezes mid-strike, the blade shaking — her body remembering the safety of that gesture before her mind can understand why.",,7,30:12
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,186,INSERT,"primerísimo plano sostenido — the General cracks, a child surfacing.","held, foreheads almost touching.","under the General a child surfaces; @SelkaGeneral's grey-blue eyes well, lost, the cold mask splitting.",,6,30:18
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,187,ACCIÓN,"the two still, foreheads close — and that nearness terrifies Selka.","held, then a flicker of panic.",the two are a single heartbeat from waking the sister — and that nearness terrifies @SelkaGeneral more than any blade.,,7,30:25
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,188,ACCIÓN,"terrified, Selka rips the Orb from Stella's hand; Stella collapses.","snap + flare as the Orb tears free, then Stella crumpling.","terrified of her own feeling, @SelkaGeneral grabs Stella's hand and rips the @Orbe out in a blinding flare (only she can — shared blood); @StellaTeñida collapses — coma, not death.",,7,30:32
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,188A,ACCIÓN·insert,the Orb tears free in a blinding flare; Stella's body arcs.,"slow-mo + impact frame on the tear, then a hard whip.","@SelkaGeneral wrenches the @Orbe from @StellaTeñida's palm in a blinding white tear; Stella's body arcs and convulses as the light rips out of her — no blood, only a soul-deep wrench of light leaving a body.",,4,30:36
ACTO 3,24 — ESCENA: El trono / el combate emocional / le arrancan el Orbe · *(179-189)*  · **SET-PIECE A7**,189,ESTÁNDAR,"a spark dives from the bracelet into Stella's chest; Selka, shaking, gives the order.","insert on the spark sinking in, then to Selka's unsteady face.","a spark of @Gix dives from the @Brazalete into @StellaTeñida's chest, clutching her failing heart; @SelkaGeneral stands trembling over her, voice not quite her own.",,9,30:45
ACTO 3,25 — ESCENA: El secreto del palacio (es una nave) · *(190-196)*,190,ESTÁNDAR,"she sets the Orb into the console, expecting the light.","push to her hopeful, brittle face.","@SelkaGeneral carries the @Orbe to the throne console and sets it in place — about to return the light to Erdia, to be the hero she believes she is.",,9,30:54
ACTO 3,25 — ESCENA: El secreto del palacio (es una nave) · *(190-196)*,191,ESTÁNDAR,the wrong silence; her confusion.,"hold, dread building.","nothing happens. The light does not return; @SelkaGeneral's face falters in a wrong, swelling silence.",,9,31:03
ACTO 3,25 — ESCENA: El secreto del palacio (es una nave) · *(190-196)*,192,ACCIÓN,the hall shudders; walls folding into bulkheads.,"shaking, vertiginous.","the whole hall shudders — walls fold into bulkheads, the floor becomes deck, ancient engines waking deep below.",,7,31:10
ACTO 3,25 — ESCENA: El secreto del palacio (es una nave) · *(190-196)*,193,ESTÁNDAR,vast spectacle wide as the whole structure lights up.,sweeping reveal of the scale.,"what everyone believed a palace — what the people believed a meteorite — ignites whole: machinery everywhere, the @NavePalacio rising into itself.",,9,31:19
ACTO 3,25 — ESCENA: El secreto del palacio (es una nave) · *(190-196)*,194,ESTÁNDAR,Selka small against the rising machinery.,tilt up the awakening structure.,"the structure climbs around @SelkaGeneral — it was always a ship, every column a strut, every wall a bulkhead.",,9,31:28
ACTO 3,25 — ESCENA: El secreto del palacio (es una nave) · *(190-196)*,195,ESTÁNDAR,Selka backs toward the throne; a voice answers from it.,"push to her fear, then to the shadowed throne.","@SelkaGeneral backs away, afraid for the first time in her life; from the throne a laugh answers in a thousand voices.",,9,31:37
ACTO 3,25 — ESCENA: El secreto del palacio (es una nave) · *(190-196)*,196,EMOCIÓN,the King rises from the throne; the hall holds its breath.,slow ominous push to Vorthan rising.,"@Vorthan rises from the throne, unhurried; @StellaTeñida lies dying nearby, @SelkaGeneral frozen — the moment before everything is revealed.",,11,31:48
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",197,ESTÁNDAR,Vorthan's form shifts and resolves into Vera.,"slow, unnerving push as the change completes.","@Vorthan begins to change — his form flowing — and settles into the shape of @VeraEncapuchada, the mother's face, grey-blue eyes.",,9,31:57
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",198,EMOCIÓN,"the mother's face kneels by the dying daughter, strokes her hair.","slow, tender, monstrous.","wearing the mother's face, the thing kneels beside the dying @StellaTeñida and strokes her dark-dyed hair — sweet and monstrous at once.",,11,32:08
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",199,INSERT,primerísimo plano — she opens her eyes and sees only her mother.,"held, soft.",@StellaTeñida half-opens her eyes one last time — and does not see the monster; she sees her mother.,,6,32:14
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",200,ESTÁNDAR,her smile; she closes her eyes and goes.,"slow, holding her face.","@StellaTeñida smiles, believing her mother came for her, and slips away in peace; the false Vera watches her go.",,9,32:23
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",201,ESTÁNDAR,the form rises and becomes Marek; Selka watches in horror.,slow reveal of the second face.,"the thing rises and takes a second form — @Marek, the resistance's beloved leader — and @SelkaGeneral watches the people's hero step out of her King.",,9,32:32
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",202,ESTÁNDAR,Marek's smile delivering the truth.,slow push to the smiling face.,"wearing Marek's face, the thing explains how every blow against the resistance always landed.",,9,32:41
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",203,ESTÁNDAR,the form shrinks into a small white-haired child and turns to the General.,"slow, uncanny push.","the thing shrinks into a small child — @SelkaNiña, white hair, grey-blue eyes — and turns that little face toward the General.",,9,32:50
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",204,EMOCIÓN,the child speaks the verdict; the General breaks.,intercut child-face / the General shattering.,with that tender little face the thing tells @SelkaGeneral the truth that unmakes her.,,11,33:01
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",205,EMOCIÓN,"primerísimo plano — she hums the lullaby, understands, breaks.","held, devastating.",@SelkaGeneral starts to hum the lullaby without meaning to — and finally understands it: her mother's song; she shatters completely.,,11,33:12
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",206,ESTÁNDAR,Selka's eyes find her fallen sister.,slow push from Selka to Stella's still form.,"@SelkaGeneral's eyes drop to @StellaTeñida, still on the floor — the sister who crossed a universe for her, whom she just struck down without knowing.",,9,33:21
ACTO 3,"26 — ESCENA: ""Fui yo"" (la revelación) 🔒 · *(197-207)*",207,ESTÁNDAR,"the child-face laughing, beginning to swell.",push as the small form starts to grow.,"the child-thing laughs, and its small shape begins to swell and distort — the disguise ending, the true horror rising.",,9,33:30
ACTO 3,27 — ESCENA: El Parásito / el brazo de Selka / Theron / la extracción · *(208-216)*  · **SET-PIECE A8**,208,ACCIÓN,contrapicado extremo as the colossal creature unfolds.,"tilt up, unable to contain it; the hall shaking.","the disguises fall and the @Parasito takes its true form — a colossal ancient creature of stolen light, filling the throne hall, the structure trembling around it.",,7,33:37
ACTO 3,27 — ESCENA: El Parásito / el brazo de Selka / Theron / la extracción · *(208-216)*  · **SET-PIECE A8**,208A,ACCIÓN·insert,the creature lashes; Selka tiny beneath it.,"vertiginous, debris flying.","the @Parasito lashes out, columns of light and debris exploding across the hall; @SelkaGeneral is a speck beneath the thing that emptied her whole world.",,4,33:41
ACTO 3,27 — ESCENA: El Parásito / el brazo de Selka / Theron / la extracción · *(208-216)*  · **SET-PIECE A8**,209,ACCIÓN,"newly human again, she charges the colossus.","handheld running with her, the monster filling frame.","newly broken and human again, @SelkaGeneral takes up her @HojaSelka and hurls herself at the @Parasito to cover Stella's rescue — fury and grief fused on her face.",,7,33:48
ACTO 3,27 — ESCENA: El Parásito / el brazo de Selka / Theron / la extracción · *(208-216)*  · **SET-PIECE A8**,209A,ACCIÓN·insert,she weaves the colossal limbs as she charges in.,"vertiginous, the giant's strikes filling frame.","@SelkaGeneral charges the @Parasito, ducking and rolling under colossal sweeps of light that crater the floor around her, closing the distance with reckless fury, her @HojaSelka raised.",,4,33:52
ACTO 3,27 — ESCENA: El Parásito / el brazo de Selka / Theron / la extracción · *(208-216)*  · **SET-PIECE A8**,210,ACCIÓN,a sweep of light severs her arm; she falls.,"impact frame + the camera dropping with her. Cauterized by light, no blood.","the @Parasito, almost without noticing, severs @SelkaGeneral's arm with a sweep of light (cauterized, no blood); she crashes down, maimed but alive — her face: pain, and beneath it, relief at the seconds she bought.",,7,33:59
ACTO 3,27 — ESCENA: El Parásito / el brazo de Selka / Theron / la extracción · *(208-216)*  · **SET-PIECE A8**,210A,ACCIÓN·insert,detail of the cauterized stump glowing; she crashes down.,"the camera drops with her, impact frame. Cauterized by light, no blood.","@SelkaGeneral crashes to the floor, the stump of her arm cauterized to a glowing seal (no blood); her face twists in pain and then, beneath it, fierce relief — she bought the seconds.",,4,34:03
ACTO 3,27 — ESCENA: El Parásito / el brazo de Selka / Theron / la extracción · *(208-216)*  · **SET-PIECE A8**,211,ACCIÓN,"a bulkhead explodes; Theron enters, low-angle heroic.",push to his face seeing his prey at last.,"a bulkhead blows inward and @Theron strides in — and sees the creature with his own eyes; twenty thousand years, and his prey finally has a face.",,7,34:10
